Type,Amount,WaitTimeNanos
Producer,9811,9083
Producer,10820,1833
Producer,38131,1000
Producer,71581,1625
Consumer,76483,1167
Producer,90504,31789250
Consumer,59981,137083
Producer,60413,31819167
Consumer,41173,180500
Consumer,92770,375
Producer,65416,31831291
Consumer,30720,226500
Producer,57111,31862125
Consumer,23038,253625
Consumer,53513,300083
Producer,82878,31920333
Consumer,23215,300833
Consumer,36623,131958
Producer,51588,31956250
Producer,17307,31955625
Consumer,64901,209
Producer,94159,32079166
Consumer,21465,250
Consumer,13458,333
Producer,72774,32173959
Consumer,22449,250
Producer,8043,32159584
Consumer,34342,83
Consumer,53301,542
Producer,91609,32299125
Consumer,13285,292
Consumer,2844,208
Consumer,31503,458
Producer,51222,32694750
Producer,404,32687959
Consumer,39358,334
Consumer,40738,291
Producer,76068,32885792
Producer,22933,32877125
Consumer,71729,333
Producer,63742,32866500
Consumer,97364,167
Producer,81854,32959209
Producer,23748,32949500
Consumer,15156,125
Consumer,46789,167
Producer,52304,32978500
Consumer,45842,292
Producer,40617,33019292
Consumer,25286,333
Consumer,193,333
Consumer,3369,84
Consumer,37368,125
Producer,56125,33491000
Producer,12079,33490709
Consumer,22452,250
Consumer,92079,1000
Producer,76513,33537583
Producer,6812,33539333
Consumer,72140,208
Producer,80647,33674584
Producer,8179,33626125
Consumer,70805,458
Producer,8857,33614750
Producer,44452,33613250
Consumer,49308,292
Producer,90043,33637000
Consumer,7221,125
Producer,9740,33830250
Consumer,20082,375
Consumer,80649,334
Producer,86599,33950500
Consumer,42736,166
Consumer,98638,125
Producer,84978,33996083
Consumer,82051,83
Producer,40505,33984875
Producer,89398,33976791
Consumer,55880,291
Producer,63374,33969833
Consumer,65161,333
Producer,52313,34028875
Consumer,56183,292
Producer,85239,34154125
Consumer,64663,125
Producer,47886,34171042
Consumer,42250,83
Consumer,98805,83
Producer,93175,34375584
Consumer,34818,209
Producer,94961,34522000
Consumer,70755,83
Producer,65224,34547458
Consumer,74022,334
Producer,85610,34569209
Consumer,21990,291
Consumer,62488,83
Producer,46682,34694709
Consumer,99147,500
Producer,73590,34893625
Producer,53927,34892042
Consumer,83075,292
Producer,63764,34946167
Producer,346,34940625
Consumer,62715,125
Producer,89869,34935542
Consumer,50786,209
Consumer,40546,500
Producer,64636,35026333
Producer,28083,35022375
Consumer,25179,292
Producer,4043,35286833
Consumer,23619,83
Consumer,68746,375
Producer,52221,35478708
Consumer,47166,292
Producer,14697,35477000
Producer,11077,35471292
Consumer,70779,500
Producer,63993,35494250
Consumer,12019,542
Producer,74608,35582375
Consumer,42989,292
Producer,42250,35622250
Producer,11838,35620125
Consumer,1022,375
Consumer,30759,292
Consumer,88885,125
Producer,74297,35815500
Consumer,15855,250
Consumer,43799,209
Producer,95612,35938458
Consumer,26421,458
Consumer,71407,500
Producer,87908,36071041
Consumer,27281,83
Consumer,59873,84
Producer,76460,36243584
Consumer,67338,42
Producer,92588,36285375
Consumer,85234,83
Producer,86779,36340958
Consumer,85850,250
Producer,86383,36482167
Consumer,23243,83
Consumer,70713,208
Producer,66675,36592875
Consumer,64535,542
Producer,83157,36699167
Consumer,59796,417
Consumer,29023,375
Producer,91592,36767083
Consumer,41566,417
Producer,61175,36791292
Consumer,40671,292
Producer,9452,36809834
Consumer,49709,375
Producer,44384,36832000
Consumer,30640,292
Consumer,34315,292
Producer,99389,37033958
Consumer,43617,375
Consumer,1240,291
Consumer,94964,417
Producer,79241,37123542
Producer,66127,37127625
Consumer,33209,250
Consumer,64141,250
Producer,96339,37373667
Consumer,78334,333
Producer,12204,37392500
Consumer,69378,291
Producer,1913,37391417
Producer,46069,37387750
Consumer,21620,417
Producer,29174,37383000
Producer,6687,37379709
Consumer,89362,459
Producer,63412,37369166
Producer,16906,37357959
Producer,3244,37352000
Producer,28178,37363125
Producer,18883,37368209
Producer,31032,37372917
Consumer,45351,208
Producer,47820,37542708
Consumer,27112,375
Consumer,58297,417
Producer,79469,37624041
Consumer,29415,458
Producer,30207,37669250
Consumer,99886,334
Producer,96432,37727041
Consumer,20202,375
Producer,26899,37931375
Consumer,42502,83
Consumer,98828,167
Producer,82898,38061625
Consumer,57176,458
Producer,99696,38080917
Consumer,23005,333
Consumer,29321,417
Producer,68734,38181167
Consumer,2560,292
Consumer,11704,500
Consumer,93463,292
Producer,27767,38367958
Consumer,51451,334
Producer,1178,38380750
Producer,19315,38374958
Producer,31017,38361125
Producer,80838,38334250
Consumer,3780,167
Consumer,91922,83
Consumer,14181,42
Producer,99711,38692291
Consumer,14438,583
Consumer,18076,125
Consumer,79996,291
Producer,76230,38874083
Consumer,829,458
Consumer,58580,500
Producer,58029,38948416
Producer,37732,38944041
Consumer,87125,83
Producer,21123,38934583
Producer,44220,38931667
Producer,32279,38932167
Consumer,90037,125
Producer,18649,38931459
Producer,21390,38923958
Consumer,81557,84
Producer,94915,38918625
Consumer,22630,292
Consumer,33771,333
Producer,90924,38989291
Consumer,85501,291
Producer,89783,39368000
Consumer,57786,83
Consumer,1932,42
Consumer,89996,42
Producer,86138,39543375
Consumer,69261,166
Producer,82833,39541792
Producer,34372,39542333
Consumer,54141,125
Producer,46885,39531417
Producer,5582,39525333
Consumer,66779,125
Consumer,19460,83
Producer,93823,39586250
Consumer,98340,292
Producer,20241,39842750
Producer,62000,39840875
Consumer,53268,208
Producer,37036,39867125
Consumer,95555,375
Producer,97797,39904750
Consumer,27081,83
Consumer,59324,83
Producer,99601,40004959
Consumer,89895,125
Producer,97028,40131084
Consumer,81601,209
Producer,25078,40174125
Producer,13545,40196459
Producer,26331,40197375
Consumer,59554,167
Consumer,90248,125
Producer,99926,40230000
Producer,81145,40240375
Consumer,47722,292
Consumer,92790,208
Producer,75909,40457000
Consumer,52751,208
Producer,85013,40525292
Consumer,50011,250
Producer,77230,40558584
Consumer,62601,208
Producer,46724,40676834
Consumer,98405,250
Producer,93781,40700125
Consumer,74632,292
Producer,37926,40715584
Consumer,17393,83
Producer,80018,40729625
Consumer,85963,41
Producer,77298,40865542
Consumer,29232,417
Producer,1120,40879750
Consumer,45588,125
Producer,87525,40902042
Consumer,48286,209
Consumer,3529,542
Producer,49519,41178292
Consumer,3615,250
Consumer,92066,208
Producer,87798,41386583
Consumer,31983,125
Producer,32610,41432292
Consumer,36126,125
Consumer,34806,83
Consumer,3878,500
Consumer,65187,375
Producer,87199,41600208
Producer,43287,41595334
Consumer,71753,84
Consumer,33021,84
Producer,94568,41635667
Producer,567,41625375
Producer,10180,41619125
Consumer,20773,334
Producer,3179,41619042
Consumer,5871,500
Consumer,91053,250
Producer,73700,41929459
Producer,10391,41913750
Producer,4109,41899584
Consumer,29431,84
Producer,32342,41888958
Producer,31103,41879375
Consumer,69646,42
