Type,Amount,WaitTimeNanos
Producer,18034,333
Producer,97842,375
Producer,39227,208
Producer,9555,250
Producer,5479,125
Producer,27642,125
Producer,2211,208
Consumer,85885,625
Consumer,6524,292
Consumer,83171,375
Consumer,1607,167
Producer,72146,30899375
Consumer,27362,208
Producer,76465,30906542
Consumer,6053,167
Producer,32253,30973416
Consumer,55695,247500
Consumer,21084,209
Consumer,44909,312792
Producer,58892,31042041
Consumer,60376,355583
Producer,52859,31127750
Producer,92329,31137125
Consumer,46338,125
Producer,38253,31247458
Consumer,98935,83
Producer,25056,31284125
Consumer,82169,167
Consumer,10295,125
Producer,17511,31326167
Producer,75775,31351541
Producer,9229,31369542
Consumer,19972,83
Producer,78884,31432375
Consumer,12245,208
Consumer,62961,167
Producer,72471,31629459
Consumer,11441,334
Consumer,94057,209
Producer,26778,31690792
Consumer,20341,250
Producer,21102,31742000
Consumer,30960,250
Consumer,30667,209
Producer,38430,31808625
Producer,77563,31835292
Consumer,98389,37916
Producer,81017,31875250
Consumer,67946,89834
Producer,82177,31983041
Consumer,71096,125
Producer,81062,32243916
Consumer,48241,208
Producer,87086,32283291
Consumer,41204,125
Consumer,54443,125
Producer,50411,32503708
Consumer,67098,125
Consumer,57179,250
Producer,72533,32576042
Producer,41850,32600708
Consumer,12356,41
Producer,19065,32627625
Consumer,68163,42
Producer,72859,32695209
Consumer,99023,41
Producer,12245,32721958
Consumer,55640,84
Producer,90842,32750500
Consumer,42105,42708
Producer,8323,32817291
Consumer,54171,209
Producer,29728,32883542
Consumer,33937,167
Producer,33529,33076750
Consumer,28904,84
Producer,17004,33116333
Consumer,2007,125
Producer,36662,33329916
Consumer,36005,229583
Producer,17012,33379541
Consumer,5008,125
Producer,79124,33464625
Consumer,59942,235667
Consumer,2449,250
Producer,66717,33509500
Consumer,14855,291
Consumer,72229,241125
Producer,63430,33567458
Producer,31072,33668709
Consumer,31760,84
Consumer,80080,542375
Producer,33222,33729333
Producer,66297,33736542
Consumer,66042,83
Consumer,35408,82750
Producer,19418,33839208
Producer,56102,33848334
Consumer,83099,333
Producer,14361,33887208
Consumer,20756,83
Producer,57430,33955583
Consumer,60101,125
Producer,91496,34039208
Consumer,65276,91500
Producer,25617,34092917
Consumer,1902,125
Producer,71433,34169708
Consumer,46343,125792
Producer,37176,34211250
Consumer,81584,370541
Producer,25303,34255000
Consumer,43391,125
Producer,55044,34430583
Consumer,7977,166
Producer,62598,34491000
Consumer,84868,208
Producer,26598,34532791
Consumer,29206,41
Producer,75947,34649708
Consumer,19021,125
Consumer,75431,154750
Producer,55035,34750583
Consumer,34606,167
Producer,72869,34837750
Consumer,78456,83
Producer,15514,34967041
Consumer,49352,125
Producer,73115,34992333
Consumer,2742,83
Producer,2870,35059500
Consumer,30010,84
Producer,40859,35161708
Consumer,68278,125
Producer,75920,35349792
Consumer,31870,166
Producer,65454,35392458
Consumer,95508,240375
Producer,39455,35429041
Consumer,44465,125
Producer,33735,35531166
Consumer,12277,125
Producer,59864,35647459
Consumer,90357,84
Producer,86505,35715541
Consumer,87145,218000
Producer,45686,35755333
Consumer,17084,83
Producer,14134,35815709
Consumer,20488,125
Producer,21422,35919250
Consumer,42603,234875
Producer,40281,35973125
Consumer,4155,125
Producer,95075,36038834
Consumer,99144,1075875
Producer,23297,36066709
Consumer,64151,202250
Producer,75457,36104000
Consumer,57668,125
Producer,84066,36197834
Consumer,50512,208
Producer,90935,36241750
Consumer,57348,167
Producer,33878,36297708
Consumer,90297,193250
Producer,34451,36311334
Consumer,61331,167
Producer,97241,36533334
Consumer,95762,646458
Producer,35733,36552292
Consumer,13463,125
Producer,22754,36677166
Consumer,7572,250
Producer,84109,36731292
Consumer,64074,122125
Producer,68358,36756917
Consumer,87590,1570792
Producer,13567,36797833
Consumer,56932,250
Producer,49833,36850875
Consumer,31534,84
Producer,80095,36993833
Consumer,21268,166
Consumer,57747,84667
Producer,51396,37048250
Producer,99152,37063541
Consumer,85899,33542
Producer,71114,37114291
Consumer,42016,42
Producer,42431,37200584
Consumer,47996,125
Producer,51955,37244709
Consumer,37749,125
Producer,33372,37281083
Consumer,3474,167
Producer,15212,37418208
Consumer,60457,125
Producer,55926,37466917
Consumer,56606,125
Producer,32321,37509125
Consumer,38960,125
Producer,947,37665291
Consumer,69760,208
Producer,58067,37722542
Consumer,71697,125
Producer,37239,37800416
Consumer,40518,125
Producer,84400,37892375
Consumer,99317,92542
Producer,57286,37923709
Consumer,12222,125
Producer,30697,37963000
Consumer,25658,125
Producer,89743,38029000
Consumer,91807,84
Producer,77116,38117458
Consumer,13689,125
Producer,36149,38148000
Consumer,33030,42
Producer,15680,38374125
Consumer,7775,250
Producer,60782,38433709
Consumer,15457,125
Producer,8794,38468458
Consumer,9381,166
Consumer,1663,84
Consumer,36979,125
Consumer,84449,125
Producer,56769,38744042
Consumer,38574,125
Consumer,57295,52041
Producer,93381,38789333
Producer,9679,38823375
Consumer,13085,83
Producer,61962,39039250
Consumer,82271,41
Consumer,56050,208
Producer,3940,39117041
Producer,51883,39155541
Consumer,26631,166
Producer,73964,39216709
Consumer,9727,208
Producer,75649,39264042
Consumer,63216,41
Consumer,53374,167
Producer,79368,39466917
Consumer,83661,83
Producer,38382,39507833
Consumer,68,208
Producer,22955,39555584
Consumer,31327,166
Consumer,39427,83
Producer,11344,39643041
Producer,42874,39652584
Consumer,91621,33708
Producer,40265,39686291
Consumer,41791,41
Producer,87773,39997875
Consumer,40814,167
Consumer,5746,208
Producer,99134,40087083
Consumer,60216,42
Producer,23494,40196750
Consumer,84292,440667
Consumer,17893,125
Producer,90734,40263375
Producer,2991,40286458
Consumer,8080,167
Producer,47751,40311875
Consumer,60483,209
Producer,33684,40362833
Consumer,41349,84
Producer,61369,40392791
Consumer,40447,250
Producer,65710,40434291
Consumer,35237,167
Consumer,48114,84
Producer,764,40604541
Consumer,80372,125
Producer,25630,40633458
Consumer,36310,83
Producer,38633,40914208
Consumer,199,84
Producer,46880,41016416
Consumer,70670,110625
Producer,88699,41081250
Consumer,56054,83
Consumer,45986,320959
Producer,51733,41169959
Consumer,42410,83
Producer,32227,41189750
Producer,14301,41219958
Consumer,30958,215000
Producer,63931,41238042
Consumer,65032,296000
Producer,7072,41274000
Consumer,7812,125
Producer,38007,41590125
Consumer,51006,250
Producer,48367,41626792
Consumer,58878,275334
Producer,23193,41640458
Consumer,6767,125
Producer,60174,41690584
Consumer,34476,209
Producer,73937,41674416
Consumer,99298,231000
Producer,53839,41698917
Consumer,69694,897125
Producer,71710,41763209
Consumer,46132,316625
Producer,9125,41760167
Consumer,37808,42
Producer,63803,41986416
Consumer,41408,291
Producer,89552,41993833
Consumer,41065,492041
Consumer,56229,208
Producer,32903,42027542
Producer,79795,42007250
Consumer,81230,535708
Producer,5083,42026042
Consumer,47803,42
Producer,46086,42143333
Consumer,2107,125
Producer,86544,42174834
Consumer,89372,286958
Producer,11914,42192583
Consumer,1820,125
Producer,51386,42279875
Consumer,59625,647875
Consumer,27087,84
Producer,81967,42268333
Consumer,74033,209
Producer,14069,42265416
Producer,55655,42276416
Consumer,75614,453750
Producer,99003,42273084
Consumer,86572,1511208
Producer,36469,42285166
Consumer,39296,84
Producer,36709,42311042
Consumer,46828,215458
Producer,48960,42332834
Consumer,67651,83
Producer,49819,42718250
Consumer,43645,166
Producer,25664,42767125
Consumer,14497,83
Producer,54263,42939125
Consumer,66343,840583
Producer,71518,42943209
Consumer,14798,250
Producer,60575,42949041
Consumer,72688,848750
Consumer,23588,208
Producer,73304,43038959
Producer,69340,43033000
Consumer,81611,291
Consumer,81255,957084
Producer,11645,43063541
Producer,73350,43054958
Consumer,74314,709000
Producer,88850,43069375
Consumer,85681,1731125
Consumer,14098,250
Producer,99625,43103333
Producer,88269,43095167
Consumer,41943,1384500
Consumer,63493,625834
Producer,97616,43097958
Consumer,73485,646125
Producer,38984,43095917
Consumer,46184,582250
Producer,41806,43098916
Consumer,85281,3061292
Producer,80322,43111750
Consumer,93019,2107000
Producer,88217,43151083
Consumer,48851,478500
Producer,27169,43167792
Consumer,76311,484083
Producer,44907,43183959
Consumer,70798,1149333
Producer,57224,43189750
Consumer,7728,83
Consumer,58111,83
Producer,11089,43635125
Producer,27435,43641250
Consumer,34714,125
Consumer,5452,167
Producer,86921,43807875
Producer,26024,43804333
Consumer,38061,292
Consumer,50761,295916
Producer,62804,43848750
Consumer,75392,167
Producer,91538,43846833
Consumer,71089,334000
Producer,54334,43846542
Consumer,66174,308917
Producer,19861,43886584
Producer,82425,43912750
Consumer,93067,588042
Producer,12423,43941000
Consumer,12379,167
Consumer,2899,41
Producer,63565,44340750
Consumer,69534,208
Producer,88345,44335208
Consumer,27503,167
Consumer,73750,575916
Producer,18350,44358417
Producer,26276,44354459
Producer,2167,44358125
Consumer,60359,1051916
Producer,12517,44371500
Consumer,4543,84
Producer,55178,44934584
Consumer,63952,208
Producer,27743,44970666
Consumer,15584,125
Producer,99863,45049750
Consumer,73660,817625
Producer,90028,45048000
Consumer,98826,1311167
Consumer,1265,125
Producer,44090,45083250
Producer,4707,45055291
Consumer,77291,1352834
Producer,81749,45064375
Consumer,33855,777833
Producer,27271,45072333
Consumer,48176,770917
Producer,97908,45072208
Consumer,52309,774083
Producer,82400,45060416
Consumer,92645,773416
Producer,52622,45057750
Consumer,95490,777542
Producer,66367,45065167
Consumer,68716,780792
Producer,28949,45070083
Consumer,11356,208
Producer,90487,45138542
Consumer,35206,873125
Producer,23579,45140167
Consumer,69296,892791
Producer,56582,45140625
Consumer,41051,896833
Producer,40272,45138333
Consumer,16878,886041
Producer,31344,45139250
Consumer,86031,885333
Producer,19858,45145666
Consumer,23354,125
Producer,52177,45236375
Consumer,71008,208
Producer,29078,45569833
Consumer,30944,1242708
Producer,32921,45571333
Consumer,7635,125
Producer,2369,45613708
Consumer,13155,1146083
Producer,81638,45609334
Consumer,54290,2053333
Producer,24785,45596958
Consumer,58957,83
Producer,15377,45778416
Consumer,6565,167
Producer,94425,46081042
Consumer,85410,3550583
Producer,86858,46083750
Consumer,89062,334
Producer,63700,46107750
Consumer,69606,83
Producer,87106,46237208
Consumer,89632,1058750
Producer,29910,46226792
Consumer,19792,208
Producer,75096,46226208
Consumer,52673,1010042
Producer,97231,46221583
Consumer,81192,2193416
Producer,12812,46237083
Consumer,73828,125
Producer,29429,46300250
Consumer,26755,1070375
Producer,61381,46299459
Consumer,17771,209
Producer,41208,46443292
Consumer,84076,2345250
Producer,63994,46458209
Consumer,32320,1095167
Producer,66969,46479208
Consumer,80644,3052708
Producer,4526,46458125
Consumer,783,166
Producer,187,46652167
Consumer,17217,42
Producer,70456,46869709
Consumer,14823,209
Consumer,58303,166
Producer,11155,46958125
Producer,56033,46953792
Consumer,71237,1529584
Producer,42467,46997417
Consumer,29647,0
Producer,40444,47432459
Consumer,37107,125
Producer,12415,47458750
Consumer,8588,42
Producer,47905,47560292
Consumer,32457,83
Producer,59097,47691166
Consumer,87687,2934208
Producer,6499,47699333
Consumer,7548,42
Producer,60190,47867125
Consumer,58927,125
Producer,42741,47894417
Consumer,39469,1843667
Producer,13283,47900417
Consumer,23285,41
Producer,84343,48118708
Consumer,81728,42
Producer,52772,48143417
Consumer,7639,0
Producer,57483,48222167
Consumer,69455,2035000
Consumer,18807,250
Producer,75371,48235250
Consumer,90202,42
Producer,2887,48207917
Producer,6460,48206833
Consumer,9833,83
Producer,50802,48455916
Consumer,15657,42
Producer,42989,48462042
Consumer,19763,125
Producer,74876,48484084
Consumer,99952,3653625
Producer,80408,48518084
Consumer,31172,2119500
Producer,33337,48501084
Consumer,87525,3629666
Producer,65939,48514750
Consumer,62033,2132292
Producer,29759,48518625
Consumer,72149,3613792
Producer,8874,48517375
Consumer,5379,41
Producer,19860,49412333
Consumer,17342,42
Producer,31086,49646666
Consumer,31867,42
Producer,23020,49946458
Consumer,20638,42
Producer,13563,50110958
Consumer,2595,0
Producer,92964,50172333
Consumer,81318,3589375
Producer,13734,50180042
Consumer,25987,0
Producer,69523,50464333
Consumer,85307,3886583
Producer,15282,50483625
Consumer,8998,0
Producer,88932,50759750
Consumer,68627,4139417
Consumer,3000,41
Producer,68921,50752084
Producer,22348,50742042
Consumer,90852,9261417
Producer,76413,50748708
Consumer,72996,4112750
Producer,48221,50766750
Consumer,48437,0
Producer,18535,50833417
Consumer,9249,125
Producer,33145,50849584
Consumer,55516,42
Producer,83449,51053584
Consumer,55028,4288792
Producer,95349,51068750
Consumer,32110,4280625
Producer,88326,51078708
Consumer,8283,167
Consumer,44539,6145500
Producer,22383,51097292
Consumer,83143,4273875
Producer,25951,51109125
Consumer,33929,4284958
Producer,62651,51109334
Consumer,50875,4279708
Producer,86241,51127375
Consumer,79256,7314458
Producer,8752,51140125
Consumer,16127,4268875
Producer,82401,51165250
Consumer,91993,6110041
Producer,54191,51233041
Consumer,63833,4180250
Producer,44346,51245250
Consumer,63735,6167292
Producer,8898,51254375
Consumer,40678,41
Producer,93617,51519000
Consumer,79779,7583125
Producer,30872,51531541
Consumer,20365,41
Producer,27540,51672625
Consumer,49483,7718916
Producer,29297,51670041
Consumer,45616,0
Producer,39542,51730500
Consumer,13291,0
Producer,2915,51955667
Consumer,16476,83
Producer,25131,51966250
Consumer,16680,42
Producer,56796,51987291
Consumer,22354,4745916
Producer,76278,51993208
Consumer,72568,4759167
Producer,49152,52038083
Consumer,61122,4791416
Consumer,38675,0
Producer,87300,52040542
Producer,4164,52037875
Consumer,30747,4817458
Producer,23967,52069416
Consumer,36197,0
Producer,53690,52106375
Consumer,83114,6684875
Producer,18306,52115416
Consumer,37537,42
Producer,52579,52242084
Consumer,17179,42
Producer,76233,52357542
Consumer,71390,4670833
Consumer,42111,167
Producer,31486,52432334
Producer,38253,52428166
Consumer,57954,4757375
Producer,85483,52464584
Consumer,79569,4763958
Producer,37403,52470625
Consumer,38552,167
Producer,44571,52499500
Consumer,24568,4808000
Producer,8501,52511875
Consumer,28208,4807125
Producer,76736,52509417
Consumer,56228,4798333
Producer,31657,52526125
Consumer,63754,4815625
Producer,49412,52517792
Consumer,39386,4806875
Producer,36663,52502500
Consumer,17261,4808708
Producer,30036,52501708
Consumer,58311,41
Producer,56928,52763750
Consumer,58875,166
Producer,70289,52799083
Consumer,14685,5034458
Producer,38491,52807750
Consumer,92969,5028000
Producer,66309,52801625
Consumer,48839,5019458
Producer,75562,52809792
Consumer,60472,5027375
Producer,63617,52848875
Consumer,12953,5055250
Consumer,11060,42
Producer,36064,52852292
Producer,21100,52817167
Consumer,69849,125
Consumer,49072,5115416
Producer,43652,52912125
Producer,23749,52907959
Consumer,70031,8017166
Producer,14313,52923333
Consumer,7818,42
Producer,44935,53183542
Consumer,39485,0
Producer,81411,53382625
Consumer,48470,5569541
Producer,82080,53406917
Consumer,78000,5608958
Producer,41270,53431625
Consumer,33950,5612500
Producer,96233,53434208
Consumer,47795,167
Consumer,91558,5633500
Producer,78097,53435541
Consumer,30813,167
Producer,68184,53416334
Consumer,53412,5643042
Producer,81307,53408083
Consumer,57144,8799416
Producer,78541,53414625
Consumer,30984,125
Consumer,38973,5722334
Producer,6711,53483334
Consumer,84484,5754334
Producer,34207,53511166
Producer,95222,53505958
Consumer,76836,5803000
Producer,1688,53509917
Consumer,45215,5821916
Consumer,53723,5807000
Producer,96082,53531959
Consumer,68821,5907625
Producer,91898,53633458
Producer,26170,53632917
Consumer,41368,6014292
Producer,39922,53686125
Consumer,58322,6043084
Consumer,71333,6056042
Producer,70910,53765500
Consumer,42762,6130667
Producer,75433,53815833
Producer,16263,53801750
Consumer,60921,9544667
